pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,mon_only_5yr_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_count,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,CWS,GW,GW,50,19,other_water_systems,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,19,50,RESIDENTIAL AREA,0,0.33,0.33,0.17,0.21,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA0103041,TRAILER HAVEN MOBILE HOME PARK,CWS,SW,SWP,459,191,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,191,459,MOBILE HOME PARK,0,0,0.67,0.67,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0,0,0,0,2,2
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,CWS,GW,GWP,524,207,other_water_systems,0,0,0,0,ALAMEDA  ,GWP,GW,Purchased,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,207,524,RESIDENTIAL AREA,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,3,0,1,3,1
CA0105009,MOUNTAIN HOUSE SCHOOL,NTNCWS,SW,SWP,50,1,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,MOUNTAIN HOUSE SCHOOL,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,NON-TRANSIENT NON-COMMUNITY,1,50,SCHOOL,0,3,0,0,0.75,At-Risk,At-Risk,Non-Failing,At-Risk,0,Y,N,Y,0,0,0,0,0,4
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,NTNCWS,GW,GW,82,33,other_water_systems,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1
CA0110001,ALAMEDA COUNTY WATER DISTRICT,CWS,SW,SW,344000,86959,carceral_serving_water_system,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,CWS,SW,SWP,60414,18595,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,18595,60414,RESIDENTIAL AREA,2.25,0,0,0,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,12,N/A,N,N,0,NA,NA,NA,4,0
CA0110005,EAST BAY MUD,CWS,SW,SW,1442800,392875,carceral_serving_water_system,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
CA0110006,CITY OF HAYWARD,CWS,SW,SWP,162954,36838,carceral_serving_water_system,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
CA0110008,CITY OF PLEASANTON,CWS,SW,SWP,76689,22334,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,CITY OF PLEASANTON,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,22334,76689,RESIDENTIAL AREA,1.5,0,0,0.83,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0,NA,NA,NA,4,0
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,CWS,SW,SWP,98776,25458,carceral_serving_water_system,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,25458,98776,RESIDENTIAL AREA,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0,NA,NA,NA,4,0
CA0110010,ZONE 7 WATER AGENCY,CWS,SW,SW,40,12,other_water_systems,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0110011,CITY OF LIVERMORE,CWS,SW,SWP,38892,9958,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,CITY OF LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,9958,38892,RESIDENTIAL AREA,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0,NA,NA,NA,3,1
CA0110012,TOWN OF SUNOL - SFPUC,CWS,SW,SWP,281,102,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,TOWN OF SUNOL - SFPUC,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,102,281,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,4,0
CA0110016,ALAMEDA POINT,CWS,SW,SWP,1400,378,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,ALAMEDA POINT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,378,1400,OTHER AREA,0,1,0.33,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,0,0,0,3,1
CA0110018,SFPUC-PLEASANTON WELLS,CWS,GW,GW,1,1,other_water_systems,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,NTNCWS,SW,SW,90,1,other_water_systems,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0110701,LAWRENCE LIVERMORE NATIONAL LAB SITE 200,NTNCWS,SW,SWP,10870,2,other_water_systems,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0202501,DIAMOND VALLEY SCHOOL,NTNCWS,GW,GW,100,5,other_water_systems,0,0,0,0,ALPINE  ,GW,GW,Not purchased,DIAMOND VALLEY SCHOOL,ALPINE,LPA32 - ALPINE COUNTY,NON-TRANSIENT NON-COMMUNITY,5,100,SCHOOL,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,2,2
CA0202503,WOODFORDS MUTUAL WATER COMPANY,CWS,GW,GW,50,16,other_water_systems,0,0,0,0,ALPINE  ,GW,GW,Not purchased,WOODFORDS MUTUAL WATER COMPANY,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,16,50,RESIDENTIAL AREA,0,2,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,4,0
CA0202504,MARKLEEVILLE WATER CO.,CWS,SW,SW,25,167,other_water_systems,0,1,0,6,ALPINE  ,SW,SW,Not purchased,MARKLEEVILLE WATER CO.,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,167,175,RESIDENTIAL AREA,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA0202522,SIERRA PINES MOBILE HOME PARK,CWS,GW,GW,70,32,other_water_systems,0,0,0,0,ALPINE  ,GW,GW,Not purchased,SIERRA PINES MOBILE HOME PARK,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,32,70,MOBILE HOME PARK,0,2,0,1,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,2,2
CA0202599,EARLY LEARNING CENTER,NTNCWS,GW,GW,35,1,other_water_systems,0,1,0,6,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2
CA0205425,ALPINE CO COMMUNITY DEVELOPMENT,NTNCWS,GW,GW,30,10,other_water_systems,0,0,0,0,ALPINE  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA0210001,LAKE ALPINE WATER COMPANY,CWS,SW,SW,625,490,other_water_systems,1,0,2,0,ALPINE  ,SW,SW,Not purchased,LAKE ALPINE WATER COMPANY,ALPINE,DISTRICT 10 - STOCKTON,COMMUNITY,490,625,RESIDENTIAL AREA,0.5,1.33,1.08,0.5,0.85,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
