pwsid,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys,health_5yr_no2ndary_or_lsl_binary,health_5yr_count_no_2ndary_or_lsl,mon_only_5yr_binary,mon_only_5yr_count,mr_5yr_count,mr_5yr_binary,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,HR_NAME,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing,CCR_pulled
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,CWS,GW,GW,50,19,other_water_systems,0,0,0,0,1,1,ALAMEDA  ,GW,GW,Not purchased,San Francisco Bay,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,Low to no risk,Low Risk,Low to no risk,50,Not At-Risk,1,$0,0,0,0,4,0,Yes
CA0103041,TRAILER HAVEN MOBILE HOME PARK,CWS,SW,SWP,459,191,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,Low to no risk,Medium Risk,Low to no risk,459,Not At-Risk,1,$0,0,0,0,2,2,Yes
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,CWS,GW,GWP,524,207,other_water_systems,0,0,0,0,1,1,ALAMEDA  ,GWP,GW,Purchased,San Francisco Bay,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,High to medium risk,No Risk,Low to no risk,524,Not At-Risk,1,"$3,000,000",3,0,1,3,1,Yes
CA0105009,MOUNTAIN HOUSE SCHOOL,NTNCWS,SW,SWP,50,1,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Joaquin River,MOUNTAIN HOUSE SCHOOL,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Low to no risk,High to medium risk,No Risk,Low to no risk,50,At-Risk,1,"$274,408",0,0,0,0,4,Yes
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,NTNCWS,GW,GW,82,33,other_water_systems,0,0,0,0,1,1,ALAMEDA  ,GW,GW,Not purchased,San Francisco Bay,NA,NA,NA,Not Assessed,Not Assessed,Not Assessed,Not Assessed,NA,Not Assessed,NA,NA,0,0,0,3,1,Yes
CA0110001,ALAMEDA COUNTY WATER DISTRICT,CWS,SW,SW,344000,86959,carceral_serving_water_system,0,0,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,San Francisco Bay,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,344000,Not Assessed,1,$0,NA,NA,NA,3,1,Yes
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,CWS,SW,SWP,60414,18595,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,High to medium risk,Low to no risk,No Risk,Low to no risk,60414,Not At-Risk,1,$0,NA,NA,NA,4,0,Yes
CA0110005,EAST BAY MUD,CWS,SW,SW,1442800,392875,carceral_serving_water_system,0,0,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,San Francisco Bay,EAST BAY MUD,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1442800,Not Assessed,1,"$26,043,066",NA,NA,NA,4,0,Yes
CA0110006,CITY OF HAYWARD,CWS,SW,SWP,162954,36838,carceral_serving_water_system,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,CITY OF HAYWARD,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,162954,Not Assessed,1,$0,NA,NA,NA,3,1,Yes
CA0110008,CITY OF PLEASANTON,CWS,SW,SWP,76689,22334,other_water_systems,0,0,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,San Francisco Bay,CITY OF PLEASANTON,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,High to medium risk,Low to no risk,No Risk,Low to no risk,76689,Failing,1,"$1,000,000",NA,NA,NA,4,0,Yes
